Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,Z_Import_H2,2018,0,,GW,dummy,23.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PT,P_Wind_Offshore_Deep,2025,0.025,,GW,Entso-e installed capacity per production type,15.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Wind_Offshore_Deep,2030,2,,GW,Feedback from Man0EUvRE Partner - LNEG,15.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2025,0.2561,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,D_Battery_Li-Ion,2025,0.0411,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,D_Battery_Li-Ion,2025,0.755,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IE,D_Battery_Li-Ion,2025,0.7539,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,D_Battery_Li-Ion,2025,0.0252,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,D_Battery_Li-Ion,2025,1.0891,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,D_Battery_Li-Ion,2025,5.6136,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,D_Battery_Li-Ion,2025,0.0718,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
NL,D_Battery_Li-Ion,2025,0.35,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,D_Battery_Li-Ion,2025,0.008,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,D_Battery_Li-Ion,2025,1.9718,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
SI,D_Battery_Li-Ion,2025,0.0369,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,D_Battery_Li-Ion,2025,0.095,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,D_Battery_Li-Ion,2025,0.552,,GW,eurostat statistics: energy - infrastructure - batteries,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
California,D_Battery_Li-Ion,2025,0.755,,GW,dummy data - empty entry,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
