Source,Filename,URL,Parameters
EU Reference Scenario 2020,REF2020_Technology Assumptions_Energy.xlsx,https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en,Par_CapitalCost; Par_FixedCost; Par_VariableCost; Par_CapitalCostStorage; Par_OperationalLife
EU Transport - Statistical Pocketbook,EU_Transport_Statistical_Pocketbook_2018.pdf,https://transport.ec.europa.eu/facts-funding/studies-data/eu-transport-figures-statistical-pocketbook/statistical-pocketbook-2018_en,Par_ModalSplitByFuel
Appendix A Supplementary Material; High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options,Appendix_A_high_cost_of_slow_energy_transitions.pdf,doi.org/10.1016/j.renene.2023.04.036,Par_CapitalCost; Par_FixedCost; Par_VariableCost; Par_CapitalCostStorage; Par_OperationalLife
Biomass Future Atlas of Technical and Economic Biomass Potential,biomass_futures_atlas_of_technical_and_economic_biomass_potential_en.pdf,https://research.wur.nl/en/publications/atlas-of-eu-biomass-potentials-spatially-detailed-and-quantified-,Par_TotalAnnualMaxAcitivity
Umweltbundesamt CO2 EF list 2022,Umweltbundesamt_CO2_ef_liste_2022.xlxs,https://www.umweltbundesamt.de/sites/default/files/medien/361/dokumente/co2_ef_liste_2022_brennstoffe_und_industrie_final.xlsx,Par_EmissionContentPerFuel
EEX Emission Spot Primary Market Auction Report,EEX_emission_spot_primary_market_auction_report_2018.xlxs,https://www.eex.com/en/market-data/environmental-markets/eua-primary-auction-spot-download,Par_EmissionPenalty
EEX Emission Spot Primary Market Auction Report,EEX_emission_spot_primary_market_auction_report_2020.xlxs,https://www.eex.com/en/market-data/environmental-markets/eua-primary-auction-spot-download,Par_EmissionPenalty
OpenENTRANCE Deliverable NO 3.1,OpenENTRANCE_Deliverable_NO_3.1.pdf,https://openentrance.eu/wp-content/uploads/openENTRANCE-D3.13.pdf,Par_EmissionPenalty
OpenENTRANCE Deliverable NO 3.2,OpenENTRANCE_Deliverable_NO_3.2.pdf,https://openentrance.eu/wp-content/uploads/openENTRANCE-D3.2_final.pdf,Par_EmissionPenalty
WindEurope ,WindEurope_Wind_Energy_in_Europe_statistics_2022.xlxs,https://proceedings.windeurope.org/biplatform/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ01FIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7ed34ef6e71be720c86b7da389d5daf4448f5c9d/Wind%20Energy%20in%20Europe%202022%20statistics%20and%202023-2027%20outlook.xlsx,Par_ResidualCapacity
European Commission: Long-term renovation strategy 2020-2050 Finland,renovation_strategy_finland.pdf,https://energy.ec.europa.eu/system/files/2020-04/fi_2020_ltrs_en_0.pdf,Par_SpecifiedAnnualDemand; Par_RegionalBaseYearProduction
SULPU: Cumulative Heat Pummp Sales in Finland,Heat-Pump-market-in-Finland-2019.pdf,https://www.sulpu.fi/wp-content/uploads/2021/05/Heat-Pump-market-in-Finland-2019-slides-f.pdf,Par_RegionalBaseYearProduction
UABIO: Biomass in district heating in Finland,,https://uabio.org/en/news/7533/,Par_RegionalBaseYearProduction
Eurostat Database: Disaggregated Final Consumption in Households,,https://ec.europa.eu/eurostat/databrowser/view/nrg_d_hhq/default/table?lang=en,Par_SpecifiedAnnualDemand; Par_RegionalBaseYearProduction
